horizon,Model,Stacja,Zmienne,MAPE,BIAS
Forecast_-6D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.20793875736101428,3.8243230669023913
Forecast_-7D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.22564629622693433,4.28212524425421
Forecast_-8D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.23906355764796655,4.779008095282404
Forecast_-9D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.2488798025752672,5.376384107192705
Forecast_-10D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.2543336840193138,6.051921466455755
Forecast_-11D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.25980049461861654,6.872615613659626
Forecast_-12D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.26831922576663647,7.8217176886573
Forecast_-13D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.27873316977201373,8.809900437331349
Forecast_-14D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.2882273799272035,9.809249092770076
Forecast_-15D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.29247608951075243,10.680189820415
Forecast_-16D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.2978859503038718,11.562296454824603
Forecast_-17D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.3016736772169766,12.377407648646134
Forecast_-18D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.3033350202003066,13.16460407555597
Forecast_-19D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.30815435008928294,14.013212989671537
Forecast_-20D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.31472340834349566,14.766911696287336
Forecast_-21D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.3177935732385238,15.280543407462547
Forecast_-22D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.32037780138876837,15.604354703638224
Forecast_-23D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.31829762517309573,15.877919419372848
Forecast_-24D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.3169854061362371,16.151484135107474
Forecast_-25D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.31229231327087104,16.430631804224436
Forecast_-26D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.3057395103150016,16.754443100400113
Forecast_-27D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.308859334731386,17.039173722899413
Forecast_-28D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.3169777430238151,17.374150925839768
Forecast_-29D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.32554868370412743,17.714711082162463
Forecast_-30D,Baseline,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],,0.33633097858480243,18.04410533172048
Forecast_-1D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.056651471516976415,-3.4098047351142515
Forecast_-2D,Bayesian Ridge,RACIBÓRZ-MIEDONIA (150180060) Stan wody [cm],Past,0.08519504544912991,-7.316814223531136
